CurrencyISO	Language	CurrencyName	Money	Symbol
ETB	ES	Birr Etiopía	Birr	B
VEF	ES	Bolivar Fuerte	Bolívar	B
BOB	ES	Boliviano	Boliviano	B
BND	ES	Brunei Dólar	Ringgit	B
GHS	ES	Cedi	Cedi	G
CRC	ES	Colón Costa Rican	Colón	₡
SVC	ES	Colón Salvadoreño	Colón	₡
NIO	ES	Cordoba Oro	Córdoba	C
DKK	ES	Corona Danesa	Corona	K
ISK	ES	Corona Islandia	Corona	k
NOK	ES	Corona Noruega	Corona	k
SEK	ES	Corona Suiza	Corona	k
GMD	ES	Dalasi	Dalasi	D
MKD	ES	Dinar	Денар	д
DZD	ES	Dinar Algeria	دينار	د
BHD	ES	Dinar Bahrainí	دينار	.
LYD	ES	Dinar de Libia	دينار	ل
RSD	ES	Dinar de Serbian	Динар	д
TND	ES	Dinar de Tunisia	دينار	د
IQD	ES	Dinar Iraqi	دينار	ع
JOD	ES	Dinar Jordano	دينار	د
KWD	ES	Dinar Kuwaití	دينار	د
MAD	ES	Dirham de Moroco	درهم	د
DJF	ES	Djibouti Franco	الفرنك	F
STD	ES	Dobra	Dobra	D
USD	ES	Dólar Americano	Dólar	$
AUD	ES	Dólar Australiano	Dólar	$
BSD	ES	Dólar Bahamas	Dólar	B
BBD	ES	Dólar Barbados	Dólar	B
BZD	ES	Dólar Belize	Dólar	B
BMD	ES	Dólar Bremuda	Dólar	B
CAD	ES	Dólar Canadiense	Dólar	$
GYD	ES	Dólar de Guyana	Dólar	G
NAD	ES	Dólar de Namibia	Dólar	N
ZWL	ES	Dólar de Zimbabwe	Dólar	$
XCD	ES	Dólar del Este Caribeño	Dólar	E
FJD	ES	Dólar Fiji	Dólar	F
HKD	ES	Dólar Hong Kong	香港圓	H
KYD	ES	Dólar Islas Caimán	Dólar	$
SBD	ES	Dólar Islas Salomón	Dólar	S
JMD	ES	Dólar Jamaiquino	Dólar	$
LRD	ES	Dólar Liberiano	Dólar	L
NZD	ES	Dólar Nueva Zelanda	Dólar	$
SGD	ES	Dólar Singapur	新加坡元	S
SRD	ES	Dólar Surinam	Dólar	$
TWD	ES	Dólar Taiwanés	新臺幣	$
TTD	ES	Dólar Trinidad y Tobago	Dólar	$
VND	ES	Dong	đồng	₫
AMD	ES	Dram Armenio	Դրամ	դ
CVE	ES	Escudo Cabo Verde	Escudo	E
EUR	ES	Euro	Euro	€
HUF	ES	Florín Húgaro	Forín	F
XAF	ES	Franco CFA	Franco	C
XOF	ES	Franco CFA	Franco	C
XPF	ES	Franco CFA	Franco	F
CDF	ES	Franco Congolés	Franco	F
KMF	ES	Franco de Comoro	Franco	F
GNF	ES	Franco de Guinea	Franco	F
RWF	ES	Franco Ruandés	Franco	R
CHF	ES	Franco Suizo	Franco	F
BIF	ES	Francoo de Burundi	Franco	F
HTG	ES	Gourde	Gourde	G
PYG	ES	Guarani	Guaraní	₲
ANG	ES	Guilder Antillas Nerlandesas	Gulden	N
AWG	ES	Guilder de Aruba	Florijn	A
UAH	ES	Hryvnia	Гривня	₴
PGK	ES	Kina	Kina	K
LAK	ES	Kip	ກີບ	₭
CZK	ES	Koruna Checa	Koruna	K
EEK	ES	Kroon	Kroon	K
HRK	ES	Kuna Croatí	Kuna	k
MWK	ES	Kwacha	Kwacha	M
ZMK	ES	Kwacha de Zambia	Kwacha	Z
AOA	ES	Kwanza	Kwanza	K
MMK	ES	Kyat	Kyat	K
GEL	ES	Lari	ლარი	l
LVL	ES	Latvian Lats	Lats	L
ALL	ES	Lek	Leku	L
HNL	ES	Lempira	Lempira	L
SLL	ES	Leone	Leone	L
MDL	ES	Leu de Moldovia	Leu	l
BGN	ES	Lev Búlgaro	лев	л
SHP	ES	Libra de Santa Eelena	Libra	£
SDG	ES	Libra de Sudán	جنيه	£
EGP	ES	Libra Egipcia	الجنيه	£
GIP	ES	Libra Gibraltar	Libra	£
FKP	ES	Libra Islas Falkland	Libra	£
LBP	ES	Libra Libanesa	ليرة,	ل
SYP	ES	Libra Siria	الليرة	S
GBP	ES	Libra Sterling	Libra	£
SZL	ES	Lilangeni	Lilangeni	L
TRY	ES	Lira Turca	Lira	T
LTL	ES	Litas Lutianesa	Litas	L
LSL	ES	Loti	Loti	L
MGA	ES	Malagasy Ariary	Ariary	F
TMT	ES	Manat	Манат	m
AZN	ES	Manat Azerbaijanian	Manatı	м
BAM	ES	Marcos Convertibles	Marka	K
MZN	ES	Metical	Metical	M
NGN	ES	Naira	Naira	₦
ERN	ES	Nakfa	Nakfa	N
BTN	ES	Ngultrum	དངུལ་ཀྲམ	N
RON	ES	Nuevo Leu	Leu	L
PEN	ES	Nuevo Sol	Sol	S
MRO	ES	Ouguiya	أوقية	U
TOP	ES	Pa'anga	Pa'anga	T
MOP	ES	Pataca	澳門圓	M
ARS	ES	Peso Argentino	Peso	$
CLP	ES	Peso Chileno	Peso	$
COP	ES	Peso Colombiano	Peso	C
CUP	ES	Peso Cubano	Peso	$
DOP	ES	Peso Dominicano	Peso	R
PHP	ES	Peso Filipino	Piso	₱
GWP	ES	Peso Guinea-Bissau	Peso	$
MXN	ES	Peso Mexicano	Peso	$
UYU	ES	Peso Uruguayo	Peso	$
BWP	ES	Pula	Pula	P
QAR	ES	Qatari Rial	ريال	ر
GTQ	ES	Quetzal	Quetzal	Q
ZAR	ES	Rand	Rand	R
BRL	ES	Real Brasileño	Real	R
IRR	ES	Rial Iraní	﷼	﷼
OMR	ES	Rial Omani	ريال	ر
YER	ES	Rial Yemení	ريال	ر
KHR	ES	Riel	Riel	r
MYR	ES	Ringgit de Malasia	ريڠڬيت	R
SAR	ES	Riyal Saudí	ريال	ر
BYR	ES	Rublo Bieloruso	Рубель	B
RUB	ES	Rublo Ruso	Рубль	р
MVR	ES	Rufiyaa	Rufiyaa	R
IDR	ES	Rupia	Rupia	R
SCR	ES	Rupia de Seychelles	Rupia	S
INR	ES	Rupia Indú	Rupia	R
MUR	ES	Rupia Mauritius	Rupia	R
NPR	ES	Rupia Nepalesa	Rupia	N
PKR	ES	Rupia Pakistaní	Rupia	R
LKR	ES	Rupia Sri Lanka	Rupia	R
ILS	ES	Sheqel Israeli	שקל	₪
TZS	ES	Shilling de Tanzania	Shilingi	/
UGX	ES	Shilling de Uganda	Shilling	U
KES	ES	Shilling Kenya	Shilling	K
SOS	ES	Shilling Somalí	Shilin	S
KGS	ES	Som	сом	с
TJS	ES	Somoni	Сомонӣ	С
UZS	ES	Sum Uzbekistán	Сўм	с
BDT	ES	Taka	টাকা	৳
WST	ES	Tala	Tālā	W
KZT	ES	Tenge	Теңгесі	〒
MNT	ES	Tugrik	Төгрөг	₮
AED	ES	UAE Dirham	درهم	د
VUV	ES	Vatu	Vatu	V
KRW	ES	Won	원	₩
KPW	ES	Won Nor-Coreano	원	₩
JPY	ES	Yen Japonés	日本円	¥
CNY	ES	Yuan Chino	人民币	¥
PLN	ES	Zloty Polaco	Złoty	z
APN	FR	Afghani	افغانۍ	؋
AMD	FR	arménienne Dram	Դրամ	դ
AWG	FR	Aruba Florin	Florijn	A
THB	FR	Baht	บาท ไทย	฿
CAP	FR	Balboa	Balboa	B
BBD	FR	Barbade Dollar	Dollar	B
BYR	FR	biélorusse Rouble	Рубель	B
ETB	FR	Birr éthiopien	Birr	B
VEF	FR	Bolivar Fuerte	Bolívar	B
BOB	FR	Boliviano	Boliviano	B
BND	FR	Brunei Dollar	Ringgit	B
SGH	FR	Cedi	Cedi	G
SVC	FR	Colon Salvadorien	Colón	₡
NIO	FR	Cordoba Oro	Córdoba	C
KPW	FR	Corée du Nord Won	원	₩
CRC	FR	Costa Rica Colon	Colon	₡
EEK	FR	Couronne	Kroon	K
DKK	FR	Couronne danoise	Krone	K
ISK	FR	Couronne islandaise	couronne	k
NOK	FR	Couronne Norvégienne	Krone	k
SEK	FR	couronne suédoise	Couronne	k
CZK	FR	Couronne tchèque	Couronne	K
GMD	FR	Dalasi	Dalasi	D
MKD	FR	Denar	Денар	д
DZD	FR	Dinar Algérien	دينار	د
BHD	FR	Dinar de Bahreïn	دينار	.
JOD	FR	Dinar jordanien	دينار	د
KWD	FR	Dinar koweïtien	دينار	د
LYD	FR	Dinar libyen	دينار	ل
RSD	FR	Dinar serbe	Динар	д
TND	FR	Dinar Tunisien	دينار	د
MAD	FR	Dirham Marocain	درهم	د
MST	FR	Dobra	Dobra	D
AUD	FR	Dollar australien	Dollar	$
DMO	FR	Dollar bermudien	Dollar	B
CAD	FR	Dollar canadien	Dollar	$
BZD	FR	Dollar de Belize	Dollar	B
FJD	FR	Dollar de Fidji	Dollar	F
HKD	FR	Dollar de Hong Kong	香港 圆	H
SGD	FR	Dollar de Singapour	新加坡元	S
TWD	FR	dollar de Taïwan	新台币	$
BSD	FR	Dollar des Bahamas	Dollar	B
XCD	FR	Dollar des Caraïbes orientales	Dollar	E
SBD	FR	Dollar des Îles Salomon	Dollar	S
ZWL	FR	Dollar du Zimbabwe	Dollar	$
GYD	FR	Dollar Guyana	Dollar	G
JMD	FR	Dollar jamaïcain	Dollar	$
LRD	FR	Dollar libérien	Dollar	L
NAD	FR	Dollar Namibie	Dollar	N
NZD	FR	dollar néo-zélandais	Dollar	$
SRD	FR	Dollar Surinam	Dollar	$
VND	FR	Dong	Djong	₫
AED	FR	Emirats Arabes Unis Dirham	درهم	د
CVE	FR	Escudo du Cap Vert	Escudo	E
EUR	FR	Euro	Euro	€
FIF	FR	Franc Burundi	Franc	F
XOF	FR	Franc CFA	Franc	C
XAF	FR	Franc CFA	Franc	C
XPF	FR	Franc CFP	Franc	F
CDF	FR	Franc Congolais	Franc	F
DJF	FR	Franc de Djibouti	الفرنك	F
KMF	FR	Franc des Comores	Franc	F
CHF	FR	franc suisse	Franc	F
HTG	FR	Gourde	Gourde	G
PYG	FR	Guarani	guarani	₲
GNF	FR	Guinée Franc	Franc	F
PRG	FR	Guinée-Bissau Peso	Peso	$
HUF	FR	Hongrie Forint	Forint	F
UAH	FR	Hryvnia	Гривня	₴
KYD	FR	Îles Caïmans Dollar	Dollar	$
FKP	FR	Îles Falkland Pound	Livre	£
IQD	FR	irakienne Dinar	دينار	ع
ILS	FR	israëli sheqel	שקל	₪
JPY	FR	Japon Yen	日本 円	¥
PGK	FR	Kina	Kina	K
LAK	FR	Kip	ກີບ	₭
HRK	FR	Kuna Croate	Kuna	k
MWK	FR	Kwacha	Kwacha	M
ZMK	FR	Kwacha zambien	Kwacha	Z
AOA	FR	Kwanza	Kwanza	K
MMK	FR	Kyat	Kyat	K
GEL	FR	Lari	ლარი	l
LVL	FR	Lats letton	Lats	L
ALL	FR	Lek	Leku	L
HNL	FR	Lempira	Lempira	L
SLL	FR	Leone	Leone	L
MDL	FR	Leu moldave	Leu	l
BGN	FR	lev bulgare	лев	л
SZL	FR	Lilangeni	Lilangeni	L
TRY	FR	lire turque	Lirasi	T
LTL	FR	Litas lituanien	litas	L
GIP	FR	Livre de Gibraltar	Livre	£
EGP	FR	Livre égyptienne	الجنيه	£
LBP	FR	Livre Libanaise	ليرة,	ل
SDG	FR	Livre soudanaise	جنيه	£
GBP	FR	Livre Sterling	Livre	£
SYP	FR	Livre syrienne	الليرة	S
LSL	FR	Loti	Loti	L
MGA	FR	Malagasy Ariary	Ariary	F
TMT	FR	Manat	Манат	m
AZN	FR	manat azerbaïdjanais	Manati	м
BAM	FR	Marks convertibles	Marka	K
MZN	FR	Metical	Metical	M
NGN	FR	Naira	Naira	₦
ERN	FR	Nakfa	Nakfa	N
BTN	FR	Ngultrum	དངུལ་ཀྲམ	N
RON	FR	Nouveau Leu	Leu	L
PEN	FR	Nuevo Sol	Sol	S
MRO	FR	Ouguiya	أوقية	U
TOP	FR	Pa'anga	Pa'anga	T
MOP	FR	Pataca	澳门 圆	M
ANG	FR	Pays-Bas Antilles Florin	Gulden	N
ARS	FR	Peso argentin	Peso	$
CLP	FR	Peso Chilien	Peso	$
COP	FR	Peso colombien	Peso	C
CUP	FR	Peso cubain	Peso	$
DOP	FR	Peso Dominican	Peso	R
MXN	FR	Peso mexicain	Peso	$
PHP	FR	Peso philippin	Piso	₱
UYU	FR	Peso uruguayen	Peso	$
BWP	FR	Pula	Pula	P
GTQ	FR	Quetzal	Quetzal	Q
ZAR	FR	Rand	Rand	R
BRL	FR	Real brésilien	Immobilier	R
IRR	FR	Rial iranien	﷼	﷼
OMR	FR	Rial omanais	ريال	ر
KHR	FR	Riel	Riel	r
MYR	FR	Ringgit Malaisien	ريڠڬيت	R
QAR	FR	Riyal du Qatar	ريال	ر
YER	FR	Riyal du Yémen	ريال	ر
SAR	FR	Riyal saoudien	ريال	ر
RUB	FR	rouble russe	Рубль	р
MUR	FR	Roupie de Maurice	Roupie	R
LKR	FR	Roupie de Sri Lanka	Roupie	R
INR	FR	Roupie indienne	Roupie	R
NPR	FR	Roupie Népalaise	Roupie	N
PKR	FR	Roupie pakistanaise	Roupie	R
RCS	FR	Roupie Seychelloise	Roupie	S
MVR	FR	Rufiyaa	Rufiyaa	R
IDR	FR	Rupiah	Rupiah	R
RWF	FR	Rwanda Franc	Franc	R
SHP	FR	Saint Helena Pound	Livre	£
SOS	FR	Shilling de Somalie	Shilin	S
KES	FR	Shilling kenyan	Shilling	K
UGX	FR	Shilling ougandais	Shilling	U
TZS	FR	Shilling tanzanien	Shilingi	/
KGS	FR	Som	сом	с
TJS	FR	Somoni	Сомонӣ	С
UZS	FR	Sum ouzbek	Сўм	с
BDT	FR	Taka	টাকা	৳
WST	FR	Tala	Tala	W
KZT	FR	Tenge	Теңгесі	〒
TTD	FR	Trinité-et-Tobago Dollar	Dollar	$
MNT	FR	Tugrik	Төгрөг	₮
USD	FR	US Dollar	Dollar	$
VUV	FR	Vatu	Vatu	V
KRW	FR	won	원	₩
CNY	FR	yuan chinois	人民币	¥
PLN	FR	Zloty polish	Złoty	z
AFN	IT	Afghani afgano	افغانۍ	؋
MGA	IT	Ariary malgascio	Ariary	F
THB	IT	Baht thailandese	บาทไทย	฿
PAB	IT	Balboa panamense	Balboa	B
ETB	IT	Birr etiope	Birr	B
VEF	IT	Bolivar venezuelano	Bolívar	B
BOB	IT	Boliviano boliviano	Boliviano	B
GHS	IT	Cedi ghanese	Cedi	G
CRC	IT	Colón costaricano	Colón	₡
NIO	IT	Cordoba nicaraguense	Córdoba	C
CZK	IT	Corona ceca	Koruna	K
DKK	IT	Corona danese	Krone	K
ISK	IT	Corona islandese	Króna	k
NOK	IT	Corona norvegese	Krone	k
SEK	IT	Corona svedese	Krona	k
GMD	IT	Dalasi gambese	Dalasi	D
DZD	IT	Dinaro algerino	دينار	د
BHD	IT	Dinaro del Bahrain	دينار	.
JOD	IT	Dinaro giordano	دينار	د
IQD	IT	Dinaro iracheno	دينار	ع
KWD	IT	Dinaro kuwaitiano	دينار	د
LYD	IT	Dinaro libico	دينار	ل
MKD	IT	Dinaro macedone	Денар	д
RSD	IT	Dinaro serbo	Динар	д
TND	IT	Dinaro tunisino	دينار	د
AED	IT	Dirham degli Emirati Arabi Uniti	درهم	د
MAD	IT	Dirham marocchino	درهم	د
STD	IT	Dobra di São Tomé e Príncipe	Dobra	D
AUD	IT	Dollaro australiano	Dollar	$
CAD	IT	Dollaro canadese	Dollar	$
XCD	IT	Dollaro dei Caraibi Orientali	Dollar	E
BZD	IT	Dollaro del Belize	Dollar	B
BND	IT	Dollaro del Brunei	Ringgit	B
BMD	IT	Dollaro della Bermuda	Dollar	B
GYD	IT	Dollaro della Guyana	Dollar	G
BSD	IT	Dollaro delle Bahamas	Dollar	B
KYD	IT	Dollaro delle Cayman	Dollar	$
FJD	IT	Dollaro delle Figi	Dollar	F
SBD	IT	Dollaro delle Salomone	Dollar	S
BBD	IT	Dollaro di Barbados	Dollar	B
HKD	IT	Dollaro di Hong Kong	香港圓	H
SGD	IT	Dollaro di Singapore	新加坡元	S
TTD	IT	Dollaro di Trinidad e Tobago	Dollar	$
JMD	IT	Dollaro giamaicano	Dollar	$
LRD	IT	Dollaro liberiano	Dollar	L
NAD	IT	Dollaro namibiano	Dollar	N
NZD	IT	Dollaro neozelandese	Dollar	$
USD	IT	Dollaro statunitense	Dollar	$
SRD	IT	Dollaro surinamese	Dollar	$
ZWL	IT	Dollaro zimbabwiano	Dollar	$
VND	IT	Đồng vietnamita	đồng	₫
AMD	IT	Dram armeno	Դրամ	դ
CVE	IT	Escudo di Capo Verde	Escudo	E
EUR	IT	Euro	Euro	€
AWG	IT	Fiorino arubano	Florijn	A
ANG	IT	Fiorino delle Antille olandesi	Gulden	N
HUF	IT	Fiorino ungherese	Forint	F
XOF	IT	Franco CFA BCEAO	Franc	C
XAF	IT	Franco CFA BEAC	Franc	C
XPF	IT	Franco CFP	Franc	F
CDF	IT	Franco congolese	Franc	F
BIF	IT	Franco del Burundi	Franc	F
KMF	IT	Franco delle Comore	Franc	F
DJF	IT	Franco gibutiano	الفرنك	F
GNF	IT	Franco guineano	Franc	F
RWF	IT	Franco ruandese	Franc	R
CHF	IT	Franco svizzero	Franc	F
HTG	IT	Gourde haitiano	Gourde	G
UAH	IT	Grivnia ucraina	Гривня	₴
PYG	IT	Guarani paraguaiano	Guaraní	₲
GWP	IT	Guinea-Bissau Peso	Peso	$
PGK	IT	Kina papuana	Kina	K
LAK	IT	Kip laotiano	ກີບ	₭
EEK	IT	Kroon	Kroon	K
HRK	IT	Kuna croata	Kuna	k
MWK	IT	Kwacha malawiano	Kwacha	M
ZMK	IT	Kwacha zambiano	Kwacha	Z
AOA	IT	Kwanza angolano	Kwanza	K
MMK	IT	Kyat birmano	Kyat	K
GEL	IT	Lari georgiano	ლარი	l
LVL	IT	Lats lettone	Lats	L
ALL	IT	Lek albanese	Leku	L
HNL	IT	Lempira honduregna	Lempira	L
SLL	IT	Leone sierraleonese	Leone	L
MDL	IT	Leu moldavo	Leu	l
SZL	IT	Lilangeni dello Swaziland	Lilangeni	L
EGP	IT	Lira egiziana	الجنيه	£
LBP	IT	Lira libanese (o sterlina)	ليرة,	ل
SYP	IT	Lira siriana (o sterlina)	الليرة	S
LTL	IT	Lita lituano	Litas	L
LSL	IT	Loti lesothiano	Loti	L
AZN	IT	Manat azero	Manatı	м
TMT	IT	Manat turkmeno	Манат	m
BAM	IT	Marco bosniaco	Marka	K
MZN	IT	Metical mozambicano	Metical	M
NGN	IT	Naira nigeriana	Naira	₦
ERN	IT	Nakfa eritreo	Nakfa	N
BTN	IT	Ngultrum del Bhutan	དངུལ་ཀྲམ	N
PEN	IT	Nuevo sol peruviano	Sol	S
TRY	IT	Nuova lira turca	Lirası	T
TWD	IT	Nuovo dollaro taiwanese	新臺幣	$
RON	IT	Nuovo leu rumeno	Leu	L
BGN	IT	Nuovo lev bulgaro	лев	л
ILS	IT	Nuovo siclo israeliano	שקל	₪
MRO	IT	Ouguiya mauritana	أوقية	U
TOP	IT	Paʻanga tongano	Pa'anga	T
MOP	IT	Pataca di Macao	澳門圓	M
ARS	IT	Peso argentino	Peso	$
CLP	IT	Peso cileno	Peso	$
COP	IT	Peso colombiano	Peso	C
CUP	IT	Peso cubano	Peso	$
DOP	IT	Peso dominicano	Peso	R
PHP	IT	Peso filippino	Piso	₱
MXN	IT	Peso messicano	Peso	$
UYU	IT	Peso uruguaiano	Peso	$
BWP	IT	Pula del Botswana	Pula	P
GTQ	IT	Quetzal guatemalteco	Quetzal	Q
ZAR	IT	Rand sudafricano	Rand	R
BRL	IT	Real brasiliano	Real	R
CNY	IT	Renminbi cinese (Yuan)	人民币	¥
QAR	IT	Rial del Qatar	ريال	ر
OMR	IT	Rial dell'Oman	ريال	ر
IRR	IT	Rial iraniano	﷼	﷼
SAR	IT	Rial saudita	ريال	ر
YER	IT	Rial yemenita	ريال	ر
KHR	IT	Riel cambogiano	Riel	r
MYR	IT	Ringgit malese	ريڠڬيت	R
BYR	IT	Rublo bielorusso	Рубель	B
RUB	IT	Rublo russo	Рубль	р
MVR	IT	Rufiyaa delle Maldive	Rufiyaa	R
SCR	IT	Rupia delle Seychelles	Roupie	S
INR	IT	Rupia indiana	Rupee	R
IDR	IT	Rupia indonesiana	Rupiah	R
MUR	IT	Rupia mauriziana	Roupie	R
NPR	IT	Rupia nepalese	Rupee	N
PKR	IT	Rupia pakistana	Rupee	R
LKR	IT	Rupia singalese	Rupee	R
SVC	IT	Salvadoran Colon	Colón	₡
KES	IT	Scellino keniota	Shilling	K
SOS	IT	Scellino somalo	Shilin	S
TZS	IT	Scellino tanzaniano	Shilingi	/
UGX	IT	Scellino ugandese	Shilling	U
KGS	IT	Som kirghizo	сом	с
UZS	IT	Som uzbeco	Сўм	с
TJS	IT	Somoni tagico	Сомонӣ	С
